teacher_name,email,phone,
Apple,apple@example.com,415-555-1212,
Orange,orange@example.com,415-555-1212,
Coconut,coconut@example.com,415-555-1212,
Dim,dim@example.com,415-555-1212,
Elaine,elaine@example.com,415-555-1212,
Frey,frey@example.com,415-555-1212,
Ged,ged@example.com,415-555-1212,
Helm,helm@example.com,415-555-1212,
Iliano,iliano@example.com,415-555-1212,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
